Sheet,Cell,StartTime,EndTime,Gain,Mean,StDev,Temperature
Sheet16,B4,2024-05-01 13:46:07,2024-05-01 13:47:40,73,15918,998,44.9908
Sheet16,C1,2024-05-01 13:46:07,2024-05-01 13:47:40,73,35384,2632,44.9908
Sheet16,C2,2024-05-01 13:46:07,2024-05-01 13:47:40,73,27815,4111,44.9908
Sheet16,C3,2024-05-01 13:46:07,2024-05-01 13:47:40,73,17791,1092,44.9908
Sheet16,C4,2024-05-01 13:46:07,2024-05-01 13:47:40,73,14338,528,44.9908
Sheet17,B1,2024-05-01 13:49:45,2024-05-01 13:51:18,75,40125,3522,49.9911
Sheet17,B2,2024-05-01 13:49:45,2024-05-01 13:51:18,75,36763,4858,49.9911
Sheet17,B3,2024-05-01 13:49:45,2024-05-01 13:51:18,75,20441,2666,49.9911
Sheet17,B4,2024-05-01 13:49:45,2024-05-01 13:51:18,75,17664,1101,49.9911
Sheet17,C1,2024-05-01 13:49:45,2024-05-01 13:51:18,75,37553,2963,49.9911
Sheet17,C2,2024-05-01 13:49:45,2024-05-01 13:51:18,75,29635,4813,49.9911
Sheet17,C3,2024-05-01 13:49:45,2024-05-01 13:51:18,75,19560,1273,49.9911
Sheet17,C4,2024-05-01 13:49:45,2024-05-01 13:51:18,75,15894,574,49.9911
Sheet18,B1,2024-05-01 13:53:20,2024-05-01 13:54:53,76,39233,3695,54.989
Sheet18,B2,2024-05-01 13:53:20,2024-05-01 13:54:53,76,35921,5185,54.989
Sheet18,B3,2024-05-01 13:53:20,2024-05-01 13:54:53,76,20692,2697,54.989
Sheet18,B4,2024-05-01 13:53:20,2024-05-01 13:54:53,76,17942,1188,54.989
Sheet18,C1,2024-05-01 13:53:20,2024-05-01 13:54:53,76,36819,2924,54.989
Sheet18,C2,2024-05-01 13:53:20,2024-05-01 13:54:53,76,29155,5089,54.989
Sheet18,C3,2024-05-01 13:53:20,2024-05-01 13:54:53,76,19709,1259,54.989
Sheet18,C4,2024-05-01 13:53:20,2024-05-01 13:54:53,76,16166,585,54.989
Sheet19,B1,2024-05-01 13:57:18,2024-05-01 13:58:50,77,38906,3759,59.99275
Sheet19,B2,2024-05-01 13:57:18,2024-05-01 13:58:50,77,35554,5568,59.99275
Sheet19,B3,2024-05-01 13:57:18,2024-05-01 13:58:50,77,21121,2738,59.99275
Sheet19,B4,2024-05-01 13:57:18,2024-05-01 13:58:50,77,18398,1138,59.99275
Sheet19,C1,2024-05-01 13:57:18,2024-05-01 13:58:50,77,36589,2906,59.99275
Sheet19,C2,2024-05-01 13:57:18,2024-05-01 13:58:50,77,29141,5478,59.99275
Sheet19,C3,2024-05-01 13:57:18,2024-05-01 13:58:50,77,20022,1327,59.99275
Sheet19,C4,2024-05-01 13:57:18,2024-05-01 13:58:50,77,16541,620,59.99275
Sheet20,B1,2024-05-01 14:00:59,2024-05-01 14:02:31,78,38612,3980,64.994
Sheet20,B2,2024-05-01 14:00:59,2024-05-01 14:02:31,78,35129,5882,64.994
Sheet20,B3,2024-05-01 14:00:59,2024-05-01 14:02:31,78,21491,2775,64.994
Sheet20,B4,2024-05-01 14:00:59,2024-05-01 14:02:31,78,18960,1170,64.994
Sheet20,C1,2024-05-01 14:00:59,2024-05-01 14:02:31,78,36652,2948,64.994
Sheet20,C2,2024-05-01 14:00:59,2024-05-01 14:02:31,78,28925,5654,64.994
Sheet20,C3,2024-05-01 14:00:59,2024-05-01 14:02:31,78,20364,1426,64.994
Sheet20,C4,2024-05-01 14:00:59,2024-05-01 14:02:31,78,16889,628,64.994
Sheet21,B1,2024-05-01 14:04:41,2024-05-01 14:06:13,79,38420,4055,69.99919
Sheet21,B2,2024-05-01 14:04:41,2024-05-01 14:06:13,79,34893,6226,69.99919
Sheet21,B3,2024-05-01 14:04:41,2024-05-01 14:06:13,79,21855,2773,69.99919
Sheet21,B4,2024-05-01 14:04:41,2024-05-01 14:06:13,79,19349,1199,69.99919
Sheet21,C1,2024-05-01 14:04:41,2024-05-01 14:06:13,79,35749,3052,69.99919
Sheet21,C2,2024-05-01 14:04:41,2024-05-01 14:06:13,79,28934,5842,69.99919
Sheet21,C3,2024-05-01 14:04:41,2024-05-01 14:06:13,79,20736,1430,69.99919
Sheet21,C4,2024-05-01 14:04:41,2024-05-01 14:06:13,79,17268,642,69.99919
Sheet22,B1,2024-05-01 14:08:17,2024-05-01 14:09:49,80,37507,4133,74.99565
Sheet22,B2,2024-05-01 14:08:17,2024-05-01 14:09:49,80,34051,6404,74.99565
Sheet22,B3,2024-05-01 14:08:17,2024-05-01 14:09:49,80,21901,2725,74.99565
Sheet22,B4,2024-05-01 14:08:17,2024-05-01 14:09:49,80,19359,1238,74.99565
Sheet22,C1,2024-05-01 14:08:17,2024-05-01 14:09:49,80,34841,3050,74.99565
Sheet22,C2,2024-05-01 14:08:17,2024-05-01 14:09:49,80,28464,5764,74.99565
Sheet22,C3,2024-05-01 14:08:17,2024-05-01 14:09:49,80,20674,1447,74.99565
Sheet22,C4,2024-05-01 14:08:17,2024-05-01 14:09:49,80,17299,625,74.99565
Sheet23,B1,2024-05-01 14:12:15,2024-05-01 14:13:48,81,37301,4105,79.97902
Sheet23,B2,2024-05-01 14:12:15,2024-05-01 14:13:48,81,33716,6311,79.97902
Sheet23,B3,2024-05-01 14:12:15,2024-05-01 14:13:48,81,22256,2559,79.97902
Sheet23,B4,2024-05-01 14:12:15,2024-05-01 14:13:48,81,19808,1206,79.97902
Sheet23,C1,2024-05-01 14:12:15,2024-05-01 14:13:48,81,34584,2957,79.97902
Sheet23,C2,2024-05-01 14:12:15,2024-05-01 14:13:48,81,28490,5496,79.97902
Sheet23,C3,2024-05-01 14:12:15,2024-05-01 14:13:48,81,20930,1400,79.97902
Sheet23,C4,2024-05-01 14:12:15,2024-05-01 14:13:48,81,17648,616,79.97902
Sheet24,B1,2024-05-01 14:16:02,2024-05-01 14:17:35,82,36778,3937,84.99986
Sheet24,B2,2024-05-01 14:16:02,2024-05-01 14:17:35,82,33426,5890,84.99986
Sheet24,B3,2024-05-01 14:16:02,2024-05-01 14:17:35,82,22470,2312,84.99986
Sheet24,B4,2024-05-01 14:16:02,2024-05-01 14:17:35,82,19970,1053,84.99986
Sheet24,C1,2024-05-01 14:16:02,2024-05-01 14:17:35,82,34082,2877,84.99986
Sheet24,C2,2024-05-01 14:16:02,2024-05-01 14:17:35,82,28498,4854,84.99986
Sheet24,C3,2024-05-01 14:16:02,2024-05-01 14:17:35,82,21252,1319,84.99986
Sheet24,C4,2024-05-01 14:16:02,2024-05-01 14:17:35,82,18031,579,84.99986
Sheet25,B1,2024-05-01 14:19:37,2024-05-01 14:21:10,84,38947,3804,89.98991
Sheet25,B2,2024-05-01 14:19:37,2024-05-01 14:21:10,84,35663,5366,89.98991
Sheet25,B3,2024-05-01 14:19:37,2024-05-01 14:21:10,84,24558,2259,89.98991
Sheet25,B4,2024-05-01 14:19:37,2024-05-01 14:21:10,84,21439,1207,89.98991
Sheet25,C1,2024-05-01 14:19:37,2024-05-01 14:21:10,84,36317,2927,89.98991
Sheet25,C2,2024-05-01 14:19:37,2024-05-01 14:21:10,84,30958,4285,89.98991
Sheet25,C3,2024-05-01 14:19:37,2024-05-01 14:21:10,84,23327,1399,89.98991
Sheet25,C4,2024-05-01 14:19:37,2024-05-01 14:21:10,84,19937,614,89.98991
